"Date","Flow","log1p_Flow","site_no","TP_Estimate","TP_Upper","TP_Lower"
2010-04-28,79.90100000000001,4.393213824064446,"usgs08164000",33.65794477580419,40.067096086290974,28.695020714787205
2010-04-29,78.00099999999999,4.3694478524670215,"usgs08164000",32.78472273237508,39.02149083580316,27.935636494142585
2010-04-30,77.601,4.364371699435161,"usgs08164000",32.62404598082997,38.83004011491179,27.79895284320269
2010-05-01,78.20100000000001,4.37197629882038,"usgs08164000",32.95678355142189,39.24649550620557,28.0789779891969
2010-05-02,78.90100000000001,4.380775852772229,"usgs08164000",33.36796355356865,39.74473488685545,28.415005458482206
2010-05-03,75.801,4.341204640153626,"usgs08164000",32.08120769003007,38.293501947551945,27.35724124559
2010-05-04,72.301,4.294560608892605,"usgs08164000",30.46518800014889,36.25861986447812,25.923926355342054
2010-05-05,69.801,4.259859000699674,"usgs08164000",29.314461385641902,35.0132661944777,24.93835598066456
2010-05-06,68.20100000000001,4.237000862623624,"usgs08164000",28.636017913602814,34.168558102493456,24.400132827228973
2010-05-07,67.70100000000001,4.229749199228304,"usgs08164000",28.458711948979776,33.98142372648327,24.244662301124386
2010-05-08,66.90100000000001,4.21803603456465,"usgs08164000",28.129626483026257,33.57027174375605,23.982416306853956
2010-05-09,66.001,4.204692619390966,"usgs08164000",27.762435921653395,33.135942606462294,23.68032132641836
2010-05-10,65.301,4.194189897191817,"usgs08164000",27.48508223762759,32.80503926797139,23.44314701404962
2010-05-11,64.801,4.186619838331271,"usgs08164000",27.293978427184232,32.56576124171504,23.269175876784388
2010-05-12,63.701,4.169761201506855,"usgs08164000",26.834689102333616,32.00405870438603,22.868053531593656
2010-05-13,62.900999999999996,4.157319361383489,"usgs08164000",26.51381783831719,31.61147519092699,22.60947072911403
2010-05-14,68.801,4.2456340097683265,"usgs08164000",29.17941500191813,34.782061965679496,24.897478380673327
2010-05-15,628.001,6.444131256700441,"usgs08164000",291.0576550240872,352.671686961991,245.68977080232446
2010-05-16,3660.0009999999997,8.205491613120236,"usgs08164000",2715.190863896451,3501.6712194812017,2103.1423427524787
2010-05-17,1420.0009999999995,7.259116128097101,"usgs08164000",1217.1000616895285,1690.082100931436,891.6869523554467
2010-05-18,849.001,6.745236349484363,"usgs08164000",688.0442574579115,931.3535238091512,516.4041492811729
2010-05-19,2790.001,7.934155233536322,"usgs08164000",2095.4541715091677,2719.321996947612,1620.902546713603
2010-05-20,699.001,6.551080335043404,"usgs08164000",589.3978200576171,817.3021806151413,436.1743839768625
2010-05-21,219.001,5.393627546352362,"usgs08164000",152.79168151944404,192.560247790616,122.59879582350595
2010-05-22,150.001,5.017279836814924,"usgs08164000",83.82002042178645,104.12403497342599,68.91235815506913
2010-05-23,117.001,4.770684624465665,"usgs08164000",56.740992026405394,67.94235980804915,48.15986019592301
2010-05-24,98.901,4.604169685654508,"usgs08164000",43.883723137912604,52.55249587356076,37.18729431200903
2010-05-25,86.20100000000001,4.468204330914934,"usgs08164000",37.529864396258276,44.97607625754024,32.11700698005947
2010-05-26,77.40100000000001,4.361823927356363,"usgs08164000",34.26064194834842,40.76481306833864,29.317483014855547
2010-05-27,70.601,4.2710950739666,"usgs08164000",31.805127336107216,37.9648858786306,27.01474111610063
2010-05-28,65.601,4.198704577546343,"usgs08164000",30.05560415019841,36.06436286862904,25.313044444169705
2010-05-29,61.701,4.138361447638875,"usgs08164000",28.645746354072845,34.393585824634314,23.81628284665632
2010-05-30,59.601,4.104294893075269,"usgs08164000",27.987587825745557,33.67253948565961,23.101679850864315
2010-05-31,56.100999999999985,4.044804116661965,"usgs08164000",26.428199628099435,31.74093677469237,21.784117583487067
2010-06-01,51.701,3.9646154555473165,"usgs08164000",24.434220121349135,29.193602534061338,20.244715129064843
2010-06-02,49.300999999999995,3.9180050771056933,"usgs08164000",23.581448765216365,28.32772601040309,19.51802907839159
2010-06-03,60.201,4.11414718951828,"usgs08164000",29.28084145207738,35.20064332131487,24.17818102090752
